id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	61	63	74	3	2	13	8	2
12	1	144	145	175	12	2	31	17	1
13	0	149	150	179	9	1	30	20	1
25	0	392	393	394	1	0	2	1	1
36	0	512	532	565	4	5	53	44	20
41	0	584	586	590	4	0	6	2	2
45	0	625	648	652	4	0	27	23	23
49	0	662	679	683	4	0	21	17	17
33	1	464	495	764	26	4	300	270	31
50	1	678	704	878	13	1	200	186	26
18	1	261	262	919	27	10	658	621	1
21	1	335	336	936	16	1	601	584	1
29	1	429	434	1019	14	3	590	573	5
35	2	485	497	1202	23	6	717	688	12
11	2	142	143	1247	23	4	1105	1078	1
38	2	532	534	1376	13	0	844	831	2
44	2	614	621	1395	21	6	781	754	7
20	2	304	305	1413	22	5	1109	1082	1
39	3	534	546	1423	36	4	889	849	12
46	4	640	653	1679	29	4	1039	1006	13
27	4	417	418	1735	32	3	1318	1283	1
14	4	175	176	1743	32	4	1568	1532	1
31	4	460	465	1751	26	1	1291	1264	5
47	4	641	658	1925	26	1	1284	1257	17
15	5	190	191	2032	51	6	1842	1785	1
40	5	546	560	2047	48	10	1501	1443	14
23	5	369	370	2120	49	5	1751	1697	1
28	6	426	427	2359	54	8	1933	1871	1
10	7	110	111	2591	45	3	2481	2433	1
30	8	453	461	2751	67	11	2298	2220	8
17	8	246	247	2773	52	6	2527	2469	1
37	9	531	722	2924	76	14	2393	2303	191
16	9	234	235	2946	68	6	2712	2638	1
24	10	371	372	3029	77	6	2658	2575	1
6	10	58	59	3121	83	8	3063	2972	1
42	11	602	611	3147	70	9	2545	2466	9
48	11	658	673	3170	95	15	2512	2402	15
43	11	610	615	3205	78	3	2595	2514	5
3	13	47	48	3361	104	10	3314	3200	1
4	13	48	49	3397	86	7	3349	3256	1
19	13	287	288	3415	99	18	3128	3011	1
32	14	462	470	3450	91	4	2988	2893	8
5	14	55	56	3467	117	19	3412	3276	1
8	14	67	93	3478	116	14	3411	3281	26
2	16	39	40	3628	121	15	3589	3453	1
1	19	0	1	3796	150	33	3796	3613	1
9	22	93	94	3877	156	29	3784	3599	1
22	25	362	363	3955	182	18	3593	3393	1
26	27	414	415	4013	241	38	3599	3320	1
34	28	477	483	4031	231	31	3554	3292	6
0	0	0	0	4031	6	0	4031	4025	0
