id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	18	17	0	18	1	1
4	0	62	104	180	15	1	118	102	42
3	0	15	42	298	78	5	283	200	27
8	0	120	198	349	15	1	229	213	78
9	0	152	217	397	28	1	245	216	65
20	0	305	532	535	3	0	230	227	227
12	0	191	299	543	11	1	352	340	108
13	0	214	350	615	12	1	401	388	136
28	0	389	682	709	27	0	320	293	293
38	0	583	955	985	30	0	402	372	372
2	0	7	19	1072	82	11	1065	972	12
27	0	380	645	1152	33	1	772	738	265
15	0	238	398	1182	24	2	944	918	160
10	0	162	228	1185	24	3	1023	996	66
16	0	251	411	1289	60	5	1038	973	160
30	0	446	782	1294	30	1	848	817	336
34	0	510	848	1383	18	1	873	854	338
18	0	284	517	1397	40	5	1113	1068	233
22	0	308	557	1547	47	2	1239	1190	249
24	0	325	568	1599	45	3	1274	1226	243
43	0	656	1081	1730	24	1	1074	1049	425
49	0	756	1261	1831	11	1	1075	1063	505
31	0	450	809	1861	26	4	1411	1381	359
32	0	487	815	1882	81	3	1395	1311	328
17	0	280	487	1898	48	3	1618	1567	207
41	0	613	1051	2064	38	3	1451	1410	438
42	0	649	1079	2093	19	4	1444	1421	430
47	0	749	1186	2139	48	2	1390	1340	437
48	0	752	1245	2163	47	3	1411	1361	493
11	0	170	243	2175	90	10	2005	1905	73
37	0	561	917	2281	19	4	1720	1697	356
26	0	379	641	2365	18	8	1986	1960	262
45	0	673	1118	2376	44	7	1703	1652	445
19	0	300	521	2467	49	6	2167	2112	221
23	0	314	564	2753	127	8	2439	2304	250
6	0	76	118	2829	124	15	2753	2614	42
50	0	760	1265	2873	68	10	2113	2035	505
21	0	307	544	2898	115	9	2591	2467	237
7	0	115	181	2923	118	13	2808	2677	66
5	0	73	109	3075	118	12	3002	2872	36
39	0	599	1013	3242	100	12	2643	2531	414
40	0	611	1042	3258	135	9	2647	2503	431
44	0	659	1093	3272	84	13	2613	2516	434
14	0	225	366	3280	126	16	3055	2913	141
46	0	704	1156	3297	115	12	2593	2466	452
35	0	547	894	3336	95	16	2789	2678	347
29	0	416	722	3404	187	16	2988	2785	306
25	0	328	582	3564	151	17	3236	3068	254
36	0	551	899	3580	283	26	3029	2720	348
33	0	498	842	3584	170	20	3086	2896	344
0	0	0	0	3584	-2	0	3584	3586	0
