id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	55	86	89	3	0	34	31	31
15	0	171	511	514	3	0	343	340	340
10	0	122	404	795	3	3	673	667	282
3	0	25	46	1025	191	3	1000	806	21
8	0	72	342	1083	6	1	1011	1004	270
5	0	56	99	1133	23	2	1077	1052	43
16	0	184	524	1212	8	1	1028	1019	340
17	0	186	537	1521	18	3	1335	1314	351
9	0	112	370	2004	13	5	1892	1874	258
12	0	126	449	2030	26	7	1904	1871	323
13	0	129	473	2041	46	3	1912	1863	344
6	0	66	317	2237	27	6	2171	2138	251
20	0	205	587	2545	67	3	2340	2270	382
23	0	234	629	2594	58	7	2360	2295	395
14	0	150	497	2844	49	11	2694	2634	347
25	0	260	653	2957	54	7	2697	2636	393
24	0	235	642	3097	96	12	2862	2754	407
11	0	123	415	3147	68	9	3024	2947	292
22	0	223	615	3568	116	12	3345	3217	392
2	0	11	32	3627	140	19	3616	3457	21
19	0	191	573	3765	110	20	3574	3444	382
1	0	0	10	3994	154	20	3994	3820	10
7	0	67	331	4096	102	16	4029	3911	264
18	0	187	559	4138	138	18	3951	3795	372
21	0	222	601	4322	148	43	4100	3909	379
0	0	0	0	4322	5	0	4322	4317	0
