id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	100	45	0	100	55	5
16	0	179	488	513	25	0	334	309	309
10	0	143	328	768	30	0	625	595	185
18	0	191	538	1304	28	0	1113	1085	347
13	0	165	408	2667	32	0	2502	2470	243
32	0	456	1058	2793	29	0	2337	2308	602
37	0	495	1192	2965	17	0	2470	2453	697
41	0	554	1309	3051	11	2	2497	2484	755
6	0	117	243	3209	48	2	3092	3042	126
24	0	356	793	3768	39	1	3412	3372	437
25	0	357	819	3796	34	3	3439	3402	462
70	0	845	2080	3802	3	1	2957	2953	1235
91	0	993	2595	4329	23	0	3336	3313	1602
48	0	636	1481	4882	32	0	4246	4214	845
49	0	645	1521	4917	27	1	4272	4244	876
7	0	119	263	5040	58	5	4921	4858	144
57	0	726	1744	5134	28	1	4408	4379	1018
64	0	778	1912	5290	22	1	4512	4489	1134
87	0	954	2486	5804	31	0	4850	4819	1532
28	0	408	940	5813	38	1	5405	5366	532
2	0	20	25	6009	106	1	5989	5882	5
98	0	1075	2798	6045	36	1	4970	4933	1723
34	0	466	1109	6145	61	3	5679	5615	643
17	0	181	518	6262	72	0	6081	6009	337
8	0	132	286	6586	81	2	6454	6371	154
56	0	725	1724	6621	47	1	5896	5848	999
74	0	881	2187	6974	54	0	6093	6039	1306
79	0	912	2307	7086	53	1	6174	6120	1395
81	0	919	2352	7135	49	0	6216	6167	1433
100	0	1088	2838	7526	51	0	6438	6387	1750
42	0	557	1324	7684	63	1	7127	7063	767
45	0	579	1404	7753	53	1	7174	7120	825
51	0	649	1561	7865	66	3	7216	7147	912
60	0	740	1808	8047	59	4	7307	7244	1068
12	0	161	368	8377	99	3	8216	8114	207
47	0	596	1444	9044	67	3	8448	8378	848
58	0	727	1753	9212	85	0	8485	8400	1026
26	0	374	860	9531	95	0	9157	9062	486
86	0	947	2466	9758	94	0	8811	8717	1519
30	0	412	980	9870	95	3	9458	9360	568
95	0	1027	2692	9918	70	1	8891	8820	1665
0	0	0	-1	10005	10005	0	10005	0	-1
