id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
20	0	167	580	602	22	0	435	413	413
7	0	63	363	780	36	2	717	679	300
19	0	151	569	956	3	2	805	800	418
3	0	15	285	1082	18	1	1067	1048	270
12	0	86	457	1230	7	6	1144	1131	371
14	0	91	483	1255	6	4	1164	1154	392
18	0	134	536	1332	40	1	1198	1157	402
5	0	46	322	1461	26	1	1415	1388	276
23	0	189	637	1667	42	5	1478	1431	448
4	0	28	308	1728	15	3	1700	1682	280
13	0	89	469	1840	27	2	1751	1722	380
15	0	113	497	1854	27	3	1741	1711	384
9	0	69	398	2030	66	3	1961	1892	329
16	0	119	511	2087	38	6	1968	1924	392
21	0	183	612	2303	25	7	2120	2088	429
1	0	0	10	2411	62	13	2411	2336	10
11	0	79	443	2464	52	4	2385	2329	364
17	0	124	525	2476	53	7	2352	2292	401
6	0	48	336	2777	41	10	2729	2678	288
24	0	192	651	2942	91	12	2750	2647	459
8	0	66	386	3192	145	17	3126	2964	320
25	0	201	665	3239	92	15	3038	2931	464
2	0	10	54	3587	391	23	3577	3163	44
10	0	76	429	3821	179	30	3745	3536	353
22	0	184	623	4110	187	39	3926	3700	439
0	0	0	0	4110	-21	0	4110	4131	0
