id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	84	31	2	84	51	1
7	0	65	127	154	27	0	89	62	62
3	0	21	54	242	36	1	221	184	33
4	0	44	85	259	17	1	215	197	41
11	0	102	270	315	45	0	213	168	168
2	0	9	27	449	178	2	440	260	18
14	0	116	513	616	103	0	500	397	397
5	0	58	107	722	20	1	664	643	49
18	0	151	821	887	66	0	736	670	670
22	0	176	960	965	5	0	789	784	784
10	0	91	260	1429	35	4	1338	1299	169
34	0	309	1447	1486	39	0	1177	1138	1138
35	0	318	1487	1596	109	0	1278	1169	1169
50	0	427	2252	2258	6	0	1831	1825	1825
51	0	441	2259	2268	9	0	1827	1818	1818
56	0	490	2490	2505	15	0	2015	2000	2000
63	0	563	3051	3117	66	0	2554	2488	2488
65	0	594	3164	3198	34	0	2604	2570	2570
66	0	616	3199	3223	24	0	2607	2583	2583
72	0	707	3328	3349	21	0	2642	2621	2621
16	0	127	723	3648	71	2	3521	3448	596
83	0	810	3786	3789	3	0	2979	2976	2976
17	0	139	797	3797	30	1	3658	3627	658
90	0	871	3960	3971	11	0	3100	3089	3089
20	0	163	890	4196	59	2	4033	3972	727
98	0	957	4328	4387	59	0	3430	3371	3371
109	0	1058	4965	5011	46	0	3953	3907	3907
24	0	188	981	5293	182	1	5105	4922	793
118	0	1151	5608	5629	21	0	4478	4457	4457
27	0	224	1162	5692	16	1	5468	5451	938
126	0	1198	5875	5896	21	0	4698	4677	4677
132	0	1260	6154	6177	23	0	4917	4894	4894
133	0	1291	6178	6182	4	0	4891	4887	4887
31	0	255	1338	6476	45	1	6221	6175	1083
139	0	1389	6477	6520	43	0	5131	5088	5088
141	0	1398	6559	6567	8	0	5169	5161	5161
32	0	260	1379	6662	45	1	6402	6356	1119
149	0	1450	6963	7013	50	0	5563	5513	5513
152	0	1498	7051	7111	60	0	5613	5553	5553
160	0	1626	7512	7544	32	0	5918	5886	5886
164	0	1691	7670	7696	26	0	6005	5979	5979
