id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	124	119	0	124	5	5
5	0	30	433	542	109	0	512	403	403
7	0	47	616	684	68	0	637	569	569
9	0	58	740	750	10	0	692	682	682
11	0	84	770	806	36	0	722	686	686
13	0	114	862	883	21	0	769	748	748
17	0	169	1263	1314	51	0	1145	1094	1094
23	0	227	1571	1587	16	0	1360	1344	1344
36	0	430	2677	2710	33	0	2280	2247	2247
37	0	443	2736	2759	23	0	2316	2293	2293
46	0	529	3190	3280	90	0	2751	2661	2661
6	0	37	547	3503	117	3	3466	3346	510
59	0	788	3868	3893	25	0	3105	3080	3080
71	0	975	4468	4592	124	0	3617	3493	3493
74	0	1009	4676	4753	77	0	3744	3667	3667
79	0	1083	4864	4921	57	0	3838	3781	3781
15	0	146	1094	5159	112	2	5013	4899	948
83	0	1206	5164	5188	24	0	3982	3958	3958
85	0	1239	5269	5319	50	0	4080	4030	4030
91	0	1317	5563	5590	27	0	4273	4246	4246
26	0	294	1838	6499	21	1	6205	6183	1544
28	0	341	1888	6523	127	2	6182	6053	1547
30	0	346	2194	6635	223	1	6289	6065	1848
34	0	397	2448	6906	254	3	6509	6252	2051
38	0	444	2764	7035	113	1	6591	6477	2320
42	0	486	2986	7172	62	2	6686	6622	2500
45	0	526	3158	7240	57	4	6714	6653	2632
48	0	574	3295	7305	110	1	6731	6620	2721
53	0	666	3568	7444	53	1	6778	6724	2902
58	0	771	3822	7802	227	2	7031	6802	3051
10	0	74	755	7900	112	2	7826	7712	681
60	0	799	3898	7912	102	1	7113	7010	3099
61	0	810	3998	7924	29	1	7114	7084	3188
62	0	829	4025	7939	43	2	7110	7065	3196
69	0	962	4414	8428	31	4	7466	7431	3452
72	0	993	4597	8469	67	1	7476	7408	3604
73	0	994	4643	8485	39	2	7491	7450	3649
77	0	1055	4813	8621	37	5	7566	7524	3758
82	0	1164	5069	8807	162	3	7643	7478	3905
90	0	1308	5538	9065	35	2	7757	7720	4230
20	0	181	1346	9449	104	2	9268	9162	1165
98	0	1402	6243	9612	2	2	8210	8206	4841
22	0	219	1514	9872	190	2	9653	9461	1295
24	0	258	1592	9913	89	6	9655	9560	1334
2	0	2	129	9962	211	5	9960	9744	127
0	0	0	-1	10034	10034	0	10034	0	-1
