id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	50	45	0	50	5	5
2	0	12	55	142	87	0	130	43	43
5	0	32	147	399	27	1	367	339	115
27	0	392	477	725	184	4	333	145	85
25	0	329	404	812	194	3	483	286	75
54	0	705	817	1085	120	1	380	259	112
78	0	1079	1098	1169	39	1	90	50	19
69	0	920	1090	1493	178	4	573	391	170
99	0	1320	1583	1695	15	1	375	359	263
48	0	639	1700	1916	114	1	1277	1162	1061
10	0	78	2128	2215	65	1	2137	2071	2050
83	0	1124	2292	2312	20	0	1188	1168	1168
19	0	268	2323	2429	38	2	2161	2121	2055
24	0	328	2434	2622	55	1	2294	2238	2106
47	0	603	2452	2882	132	4	2279	2143	1849
92	0	1268	3186	3497	153	2	2229	2074	1918
45	0	601	3587	3732	80	2	3131	3049	2986
20	0	272	3737	3833	50	1	3561	3510	3465
70	0	971	3859	3867	8	0	2896	2888	2888
23	0	310	3771	4090	152	4	3780	3624	3461
79	0	1096	4181	4191	10	0	3095	3085	3085
87	0	1212	4196	4326	39	1	3114	3074	2984
22	0	294	4331	4467	95	1	4173	4077	4037
86	0	1204	4341	4512	71	4	3308	3233	3137
40	0	544	4517	4679	162	0	4135	3973	3973
43	0	589	4684	4698	14	0	4109	4095	4095
37	0	489	4992	5080	58	1	4591	4532	4503
81	0	1112	5186	5418	120	2	4306	4184	4074
6	0	54	5305	5456	70	2	5402	5330	5251
42	0	577	5501	5651	61	1	5074	5012	4924
74	0	1027	5925	5941	16	0	4914	4898	4898
71	0	973	6281	6299	18	0	5326	5308	5308
50	0	650	6311	6391	80	0	5741	5661	5661
11	0	101	6304	6462	68	4	6361	6289	6203
28	0	403	7109	7578	154	8	7175	7013	6706
29	0	418	7583	7699	116	0	7281	7165	7165
55	0	741	7704	7738	34	0	6997	6963	6963
30	0	427	8251	8416	123	2	7989	7864	7824
9	0	73	8003	8492	133	7	8419	8279	7930
60	0	791	8756	9156	144	2	8365	8219	7965
68	0	906	9161	9298	52	3	8392	8337	8255
33	0	451	9465	9644	99	2	9193	9092	9014
64	0	842	9481	9676	87	2	8834	8745	8639
0	0	0	-1	10057	10057	0	10057	0	-1
