id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	356	145	4	356	207	10
7	0	49	377	619	68	4	570	498	328
2	0	9	112	817	252	14	808	542	103
3	0	14	433	831	60	13	817	744	419
12	0	122	985	1330	94	5	1208	1109	863
10	0	83	709	1479	137	8	1396	1251	626
20	0	233	1356	1510	38	4	1277	1235	1123
17	0	217	1367	1581	54	3	1364	1307	1150
18	0	221	1534	1689	53	3	1468	1412	1313
25	0	315	1766	1906	38	3	1591	1550	1451
16	0	206	2010	2032	22	0	1826	1804	1804
9	0	71	1710	2083	70	12	2012	1930	1639
4	0	21	2174	2197	23	0	2176	2153	2153
8	0	69	2093	2290	50	5	2221	2166	2024
22	0	255	2328	2375	14	2	2120	2104	2073
23	0	291	2385	2408	23	0	2117	2094	2094
13	0	134	2444	2661	66	4	2527	2457	2310
19	0	230	2431	2672	56	6	2442	2380	2201
5	0	34	2351	2923	79	12	2889	2798	2317
15	0	183	2805	2986	68	5	2803	2730	2622
11	0	114	1602	3069	187	23	2955	2745	1488
14	0	181	2697	3086	72	13	2905	2820	2516
21	0	253	864	3123	54	1	2870	2815	611
24	0	303	974	3172	101	8	2869	2760	671
6	0	41	853	3190	66	7	3149	3076	812
0	0	0	0	3190	-10	0	3190	3200	0
