id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	11	37	38	1	0	27	26	26
36	0	251	289	291	2	0	40	38	38
40	0	353	523	580	14	0	227	213	170
71	0	652	688	691	3	0	39	36	36
80	0	720	995	1020	10	0	300	290	275
125	0	1148	1160	1170	7	0	22	15	12
137	0	1218	1244	1249	5	0	31	26	26
139	0	1258	1303	1484	28	0	226	198	45
202	0	1783	1789	1845	17	0	62	45	6
156	0	1399	2059	2102	22	0	703	681	660
248	0	2278	2292	2296	4	0	18	14	14
264	0	2454	2468	2650	12	0	196	184	14
261	0	2431	2443	2684	16	2	253	235	12
267	0	2473	2483	2689	15	1	216	200	10
284	0	2617	2791	2793	2	0	176	174	174
285	0	2624	2817	2820	3	0	196	193	193
148	0	1311	1426	2930	30	1	1619	1588	115
287	0	2647	2652	2955	26	2	308	280	5
315	0	2939	2966	2979	8	0	40	32	27
339	0	3219	3239	3255	7	0	36	29	20
342	0	3256	3271	3383	38	3	127	86	15
352	0	3318	3325	3385	20	0	67	47	7
373	0	3502	3531	3557	15	0	55	40	29
396	0	3732	3741	3784	25	0	52	27	9
410	0	3880	3900	3907	5	0	27	22	20
274	0	2532	2625	4214	47	1	1682	1634	93
320	0	3026	4326	4330	4	0	1304	1300	1300
446	0	4353	4358	4369	11	0	16	5	5
471	0	4582	4603	4641	16	0	59	43	21
477	0	4643	4650	4653	3	0	10	7	7
328	0	3131	4982	4984	2	0	1853	1851	1851
336	0	3205	5141	5166	12	2	1961	1947	1936
84	0	737	1210	5168	32	2	4431	4397	473
500	0	4880	5155	5170	7	1	290	282	275
282	0	2598	2770	5278	9	1	2680	2670	172
6	0	14	5279	5344	20	3	5330	5307	5265
169	0	1509	5427	5451	10	0	3942	3932	3918
173	0	1529	5701	5771	18	1	4242	4223	4172
73	0	666	734	5821	12	1	5155	5142	68
171	0	1512	1523	5886	37	3	4374	4334	11
357	0	3348	5994	5995	1	0	2647	2646	2646
46	0	385	6202	6245	17	0	5860	5843	5817
371	0	3486	6409	6475	13	1	2989	2975	2923
374	0	3534	6502	6588	13	6	3054	3035	2968
185	0	1672	6584	6594	6	0	4922	4916	4912
404	0	3815	7427	7469	15	1	3654	3638	3612
409	0	3846	7548	7616	12	1	3770	3757	3702
413	0	3923	7755	7786	13	4	3863	3846	3832
207	0	1847	8046	8091	15	2	6244	6227	6199
428	0	4139	8365	8366	1	0	4227	4226	4226
214	0	1942	8557	8668	20	3	6726	6703	6615
212	0	1919	1931	8699	18	1	6780	6761	12
217	0	1975	8772	8783	11	0	6808	6797	6797
440	0	4277	8739	8802	6	4	4525	4515	4462
109	0	1011	8903	8970	19	1	7959	7939	7892
221	0	2008	9118	9147	7	2	7139	7130	7110
458	0	4483	9353	9365	12	0	4882	4870	4870
235	0	2165	9907	9956	9	0	7791	7782	7742
121	0	1109	10039	10041	2	0	8932	8930	8930
159	0	1419	2260	10221	21	2	8802	8779	841
119	0	1078	1085	10259	42	1	9181	9138	7
252	0	2327	10364	10371	7	0	8044	8037	8037
122	0	1124	1129	10376	27	2	9252	9223	5
128	0	1183	10403	10443	11	1	9260	9248	9220
1	1	0	1	11016	43	0	11016	10973	1
55	1	502	525	11132	54	2	10630	10574	23
275	1	2536	2634	11182	15	0	8646	8631	98
68	1	623	644	11282	30	0	10659	10629	21
236	1	2171	2177	11382	23	1	9211	9187	6
229	1	2079	2116	11584	19	0	9505	9486	37
155	1	1394	2009	11754	18	0	10360	10342	615
331	1	3158	3177	11834	28	1	8676	8647	19
281	1	2587	2737	11917	25	0	9330	9305	150
472	1	4610	9087	12373	27	1	7763	7735	4477
272	1	2517	2579	12763	52	3	10246	10191	62
330	1	3150	3156	12904	28	2	9754	9724	6
341	1	3249	5452	13170	24	0	9921	9897	2203
493	1	4810	5491	13276	27	5	8466	8434	681
348	1	3294	5654	13406	19	1	10112	10092	2360
172	1	1523	5628	13428	30	2	11905	11873	4105
350	1	3300	5741	13441	24	0	10141	10117	2441
351	1	3301	3307	13577	34	1	10276	10241	6
489	1	4787	6007	13721	24	2	8934	8908	1220
364	1	3401	6106	13790	18	1	10389	10370	2705
178	1	1595	6026	13828	31	2	12233	12200	4431
138	1	1236	1288	13847	52	3	12611	12556	52
91	1	770	6246	13928	15	1	13158	13142	5476
367	1	3459	6290	13986	27	1	10527	10499	2831
383	1	3621	6799	14431	23	1	10810	10786	3178
188	1	1707	6773	14449	23	1	12742	12718	5066
385	1	3623	6890	14458	30	1	10835	10804	3267
384	1	3622	6880	14611	31	1	10989	10957	3258
211	1	1885	8352	14634	22	0	12749	12727	6467
199	1	1772	7455	14662	14	3	12890	12873	5683
105	1	975	8274	14812	19	2	13837	13816	7299
397	1	3753	7276	14993	16	0	11240	11224	3523
398	1	3756	7293	15075	19	0	11319	11300	3537
317	1	2970	4255	15243	39	3	12273	12231	1285
14	1	73	7601	15310	57	7	15237	15173	7528
412	1	3900	7742	15491	15	0	11591	11576	3842
417	1	4020	7913	15504	24	2	11484	11458	3893
411	1	3899	7716	15510	21	1	11611	11589	3817
103	1	921	7954	15515	25	1	14594	14568	7033
104	1	974	8142	15563	20	0	14589	14569	7168
197	1	1761	1770	15625	50	7	13864	13807	9
418	1	4021	7993	15667	18	1	11646	11627	3972
419	1	4028	8012	15679	47	5	11651	11599	3984
448	1	4393	9032	16032	21	0	11639	11618	4639
56	1	531	9187	16075	15	0	15544	15529	8656
114	1	1028	1049	16577	35	1	15549	15513	21
465	1	4540	9588	16644	23	2	12104	12079	5048
123	1	1132	10148	16837	14	0	15705	15691	9016
126	1	1161	1178	16843	24	1	15682	15657	17
460	1	4509	4513	16914	22	1	12405	12382	4
60	1	567	9963	17082	34	3	16515	16478	9396
161	1	1434	2411	17247	40	6	15813	15767	977
160	1	1425	2387	17290	45	1	15865	15819	962
485	2	4733	7459	17310	32	4	12577	12541	2726
37	2	285	336	17889	47	7	17604	17550	51
153	2	1367	1884	17912	41	1	16545	16503	517
75	2	676	835	18022	48	2	17346	17296	159
79	2	717	975	18101	49	0	17384	17335	258
389	2	3677	3681	18167	46	4	14490	14440	4
112	2	1022	9200	18290	42	5	17268	17221	8178
289	2	2661	2890	18293	37	2	15632	15593	229
390	2	3680	7020	18323	39	0	14643	14604	3340
308	2	2816	3785	18513	41	1	15697	15655	969
162	2	1442	2486	18961	54	3	17519	17462	1044
498	2	4867	4874	19004	39	4	14137	14094	7
190	2	1718	6915	19019	41	3	17301	17257	5197
189	2	1709	6851	19042	31	0	17333	17302	5142
438	2	4268	4273	19072	42	4	14804	14758	5
279	2	2581	2690	19303	40	0	16722	16682	109
334	2	3201	5128	19600	28	0	16399	16371	1927
335	2	3203	3206	19766	46	2	16563	16515	3
3	2	4	32	19802	52	2	19798	19744	28
492	2	4807	5806	19804	29	1	14997	14967	999
85	2	738	5392	19877	39	1	19139	19099	4654
35	2	249	280	19997	63	2	19748	19683	31
218	2	1979	8928	20063	38	0	18084	18046	6949
372	2	3487	6431	20130	43	3	16643	16597	2944
355	2	3338	5887	20330	36	1	16992	16955	2549
490	2	4804	5916	20355	39	1	15551	15511	1112
38	2	288	358	20373	45	2	20085	20038	70
147	2	1307	1312	20380	43	7	19073	19023	5
151	2	1340	1617	20776	73	1	19436	19362	277
210	2	1883	8281	20816	51	6	18933	18876	6398
259	2	2412	10522	21249	41	3	18837	18793	8110
415	2	3936	7826	21601	34	0	17665	17631	3890
233	2	2150	9730	21698	33	1	19548	19514	7580
32	2	229	10287	22103	42	1	21874	21831	10058
242	2	2211	10044	22151	33	0	19940	19907	7833
72	2	653	730	22236	27	1	21583	21555	77
136	2	1209	1237	22396	55	2	21187	21130	28
58	2	539	9668	22450	45	7	21911	21859	9129
244	2	2214	10135	22456	29	0	20242	20213	7921
115	2	1056	9559	22538	40	1	21482	21441	8503
152	2	1341	1691	22897	60	4	21556	21492	350
65	2	590	10425	22969	37	2	22379	22340	9835
142	3	1287	1351	23141	85	4	21854	21765	64
25	3	150	7070	23209	48	3	23059	23008	6920
395	3	3721	7209	23279	52	4	19558	19502	3488
200	3	1777	7522	23620	51	3	21843	21789	5745
17	3	110	116	23702	56	0	23592	23536	6
20	3	122	249	23789	65	1	23667	23601	127
97	3	848	7113	23973	56	2	23125	23067	6265
297	3	2725	3070	24071	39	0	21346	21307	345
387	3	3637	3643	24115	76	1	20478	20401	6
81	3	729	1071	24120	46	1	23391	23344	342
43	3	372	5384	24138	69	5	23766	23692	5012
203	3	1790	1799	24257	51	2	22467	22414	9
215	3	1946	1960	24282	78	6	22336	22252	14
255	3	2354	2359	24606	47	0	22252	22205	5
450	3	4414	9116	24743	51	2	20329	20276	4702
129	3	1187	1193	24792	91	2	23605	23512	6
318	3	2974	2993	24839	65	1	21865	21799	19
332	3	3178	3188	24858	53	1	21680	21626	10
83	3	733	1204	24951	65	1	24218	24152	471
329	3	3148	4985	24965	47	0	21817	21770	1837
325	3	3091	3106	24990	47	0	21899	21852	15
313	3	2879	4068	25056	74	1	22177	22102	1189
425	3	4095	4115	25184	68	1	21089	21020	20
304	3	2777	2797	25264	60	4	22487	22423	20
406	3	3822	7509	25480	46	3	21658	21609	3687
48	3	436	6812	25510	57	11	25074	25006	6376
22	3	130	5336	25614	72	4	25484	25408	5206
231	3	2133	9672	25839	54	1	23706	23651	7539
150	3	1325	1587	26040	62	1	24715	24652	262
94	3	811	6721	26154	58	8	25343	25277	5910
393	3	3710	7155	26339	61	4	22629	22564	3445
49	3	440	7100	26408	50	2	25968	25916	6660
480	3	4698	8381	26459	58	4	21761	21699	3683
53	3	482	8261	26684	49	1	26202	26152	7779
311	3	2854	2875	26810	56	3	23956	23897	21
427	3	4137	8339	26859	52	1	22722	22669	4202
113	3	1023	9299	27006	40	0	25983	25943	8276
224	3	2018	9327	27064	41	0	25046	25005	7309
473	3	4625	8980	27195	38	0	22570	22532	4355
154	3	1371	1920	27244	64	4	25873	25805	549
28	3	185	8861	27247	74	6	27062	26982	8676
452	3	4417	9174	27269	48	3	22852	22801	4757
483	3	4716	7626	27469	42	0	22753	22711	2910
19	3	117	217	27619	51	3	27502	27448	100
407	3	3829	7535	27663	59	2	23834	23773	3706
263	3	2448	10633	27804	42	2	25356	25312	8185
157	3	1404	2129	27836	93	8	26432	26331	725
51	4	452	457	28212	92	3	27760	27665	5
7	4	31	7588	28215	49	0	28184	28135	7557
164	4	1449	5050	28223	67	2	26774	26705	3601
286	4	2633	2855	28244	58	0	25611	25553	222
219	4	1981	9006	28276	57	1	26295	26237	7025
293	4	2678	2693	28310	63	1	25632	25568	15
158	4	1410	2234	28315	53	0	26905	26852	824
127	4	1163	1176	28336	103	4	27173	27066	13
345	4	3285	5587	28490	73	2	25205	25130	2302
82	4	730	1110	28575	54	0	27845	27791	380
41	4	357	624	28807	57	0	28450	28393	267
12	4	57	68	28908	80	6	28851	28765	11
170	4	1511	5489	28920	69	1	27409	27339	3978
78	4	687	705	29033	100	0	28346	28246	18
70	4	648	679	29146	74	4	28498	28420	31
168	4	1500	5236	29218	58	4	27718	27656	3736
301	4	2754	3149	29310	65	1	26556	26490	395
206	4	1830	1848	29323	57	0	27493	27436	18
479	4	4677	8712	29376	77	3	24699	24619	4035
253	4	2333	10390	29563	70	1	27230	27159	8057
146	4	1302	1411	29848	103	6	28546	28437	109
326	4	3112	3118	29865	63	2	26753	26688	6
299	4	2736	3104	29867	53	5	27131	27073	368
494	4	4817	5358	29870	61	3	25053	24989	541
349	4	3299	5713	29889	61	4	26590	26525	2414
378	4	3584	6663	29936	91	10	26352	26251	3079
338	4	3216	5264	29958	87	5	26742	26650	2048
453	4	4436	9226	29991	63	2	25555	25490	4790
333	4	3189	5102	30079	62	1	26890	26827	1913
98	4	850	7221	30105	62	0	29255	29193	6371
399	4	3764	3786	30917	101	8	27153	27044	22
34	4	248	252	31173	103	7	30925	30815	4
436	4	4260	8591	31286	65	1	27026	26960	4331
429	4	4150	8367	31337	69	4	27187	27114	4217
45	4	381	5955	31629	74	2	31248	31172	5574
265	4	2467	10652	31789	63	0	29322	29259	8185
340	4	3242	3250	32187	70	1	28945	28874	8
423	4	4085	8181	32612	60	0	28527	28467	4096
107	5	998	8528	32870	87	3	31872	31782	7530
145	5	1297	1400	33105	76	2	31808	31730	103
118	5	1077	9900	33221	82	3	32144	32059	8823
31	5	227	10057	33374	72	1	33147	33074	9830
467	5	4554	9642	33503	74	0	28949	28875	5088
451	5	4415	9137	33546	68	1	29131	29062	4722
474	5	4626	8816	33742	66	4	29116	29046	4190
291	5	2674	2678	33945	117	4	31271	31150	4
343	5	3276	5512	33973	94	6	30697	30597	2236
47	5	391	398	34174	67	0	33783	33716	7
400	5	3785	3790	34208	72	1	30423	30350	5
444	5	4305	8958	34216	78	4	29911	29829	4653
88	5	749	5688	34368	62	1	33619	33556	4939
424	5	4089	8207	34439	82	5	30350	30263	4118
380	5	3608	3615	34844	99	5	31236	31132	7
193	5	1735	7118	34966	64	0	33231	33167	5383
392	5	3700	7146	35024	72	1	31324	31251	3446
422	5	4083	8168	35036	72	1	30953	30880	4085
33	5	244	10535	35202	79	1	34958	34878	10291
403	5	3813	7414	35276	68	1	31463	31394	3601
196	5	1758	7289	35280	105	11	33522	33406	5531
165	5	1457	5063	35302	93	4	33845	33748	3606
209	5	1851	8194	35343	64	6	33492	33422	6343
497	5	4860	5184	35367	83	3	30507	30421	324
194	5	1741	1745	35442	72	2	33701	33627	4
24	5	141	6547	35701	75	2	35560	35483	6406
26	5	154	7610	35784	100	8	35630	35522	7456
435	5	4254	8562	35827	65	0	31573	31508	4308
370	5	3471	6360	35984	77	2	32513	32434	2889
408	5	3833	3841	36019	96	10	32186	32080	8
16	5	107	9835	36130	64	1	36023	35958	9728
294	5	2692	2956	36187	83	5	33495	33407	264
391	5	3684	3693	36207	124	10	32523	32389	9
257	5	2391	10483	36471	76	3	34080	34001	8092
354	6	3331	5848	36762	91	2	33431	33338	2517
140	6	1262	1278	36791	126	7	35529	35396	16
13	6	68	6514	36899	97	3	36831	36731	6446
457	6	4473	9340	37043	86	5	32570	32479	4867
101	6	870	877	37169	87	1	36299	36211	7
44	6	375	381	37203	104	5	36828	36719	6
50	6	442	7336	37221	94	3	36779	36682	6894
382	6	3618	6786	37392	87	0	33774	33687	3168
192	6	1729	7033	37401	90	5	35672	35577	5304
251	6	2323	10270	37556	92	3	35233	35138	7947
135	6	1203	1231	37636	102	2	36433	36329	28
246	6	2264	10161	37688	109	4	35424	35311	7897
309	6	2844	3813	37825	97	1	34981	34883	969
64	6	585	10306	38279	100	10	37694	37584	9721
361	6	3376	3386	38321	114	11	34945	34820	10
491	6	4805	5900	38489	100	3	33684	33581	1095
434	6	4240	8513	38736	89	3	34496	34404	4273
116	6	1070	9670	38886	89	1	37816	37726	8600
476	6	4634	8742	38948	107	3	34314	34204	4108
204	6	1798	7813	38987	100	2	37189	37087	6015
414	6	3926	3937	39026	108	10	35100	34982	11
363	6	3397	3402	39340	98	4	35943	35841	5
