id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	79	48	1	79	30	10
2	0	33	89	90	1	0	57	56	56
5	0	62	100	289	35	2	227	190	38
16	0	266	310	501	48	3	235	184	44
4	0	53	116	553	275	3	500	222	63
15	0	210	590	668	34	2	458	422	380
17	0	302	698	699	1	0	397	396	396
27	0	416	709	722	13	0	306	293	293
30	0	468	511	792	89	7	324	228	43
19	0	332	814	828	14	0	496	482	482
26	0	414	850	954	15	4	540	521	436
14	0	208	746	980	53	6	772	713	538
12	0	195	1017	1090	15	2	895	878	822
3	0	46	910	1149	66	6	1103	1031	864
21	0	362	1159	1291	60	2	929	867	797
29	0	439	1313	1315	2	0	876	874	874
11	0	174	1028	1377	98	9	1203	1096	854
18	0	322	1325	1393	35	1	1071	1035	1003
28	0	418	1416	1481	28	1	1063	1034	998
6	0	108	1491	1503	12	0	1395	1383	1383
8	0	121	1527	1542	15	0	1421	1406	1406
10	0	173	1403	1557	29	4	1384	1351	1230
24	0	407	1567	1638	17	3	1231	1211	1160
20	0	359	1589	1728	51	5	1369	1313	1230
23	0	378	1578	1743	28	7	1365	1330	1200
13	0	205	1772	1826	13	1	1621	1607	1567
7	0	110	1753	1908	11	2	1798	1785	1643
22	0	373	1995	2018	23	0	1645	1622	1622
9	0	126	1865	2061	66	4	1935	1865	1739
25	0	411	1783	2073	67	11	1662	1584	1372
0	0	0	0	2073	-9	0	2073	2082	0
