id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	61	29	2	61	30	10
3	0	46	101	228	44	2	182	136	55
2	0	39	71	308	94	3	269	172	32
4	0	79	238	361	72	1	282	209	159
9	0	290	371	381	10	0	91	81	81
13	0	338	391	442	51	0	104	53	53
12	0	333	452	622	88	2	289	199	119
18	0	417	473	920	130	6	503	367	56
24	0	644	841	980	38	6	336	292	197
16	0	399	1004	1158	32	3	759	724	605
14	0	388	668	1186	131	10	798	657	280
11	0	322	1196	1254	26	1	932	905	874
28	0	694	1015	1266	69	7	572	496	321
17	0	409	1276	1328	15	1	919	903	867
26	0	668	1288	1454	66	4	786	716	620
10	0	311	1481	1551	38	1	1240	1201	1170
29	0	698	1368	1727	102	10	1029	917	670
20	0	494	1765	1798	33	0	1304	1271	1271
22	0	555	1581	1821	57	7	1266	1202	1026
5	0	115	1831	1847	16	0	1732	1716	1716
6	0	131	1753	1869	16	2	1738	1720	1622
7	0	255	1952	1983	31	0	1728	1697	1697
15	0	394	1890	2050	39	4	1656	1613	1496
23	0	595	2086	2114	28	0	1519	1491	1491
19	0	443	2075	2126	3	2	1683	1678	1632
8	0	275	1879	2151	51	5	1876	1820	1604
25	0	658	2177	2224	3	1	1566	1562	1519
21	0	525	2188	2314	39	5	1789	1745	1663
27	0	689	2161	2365	50	3	1676	1623	1472
30	0	702	2269	2380	27	2	1678	1649	1567
0	0	0	0	2380	-8	0	2380	2388	0
