id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	20	19	0	20	1	1
11	0	86	96	141	8	3	55	44	10
8	0	65	299	334	35	0	269	234	234
31	0	257	335	416	41	4	159	114	78
47	0	444	460	549	81	1	105	23	16
45	0	410	452	601	64	4	191	123	42
66	0	598	624	637	13	0	39	26	26
68	0	633	651	695	44	0	62	18	18
60	0	538	602	702	39	3	164	122	64
74	0	677	703	763	46	1	86	39	26
82	0	761	780	846	60	1	85	24	19
73	0	676	724	856	40	4	180	136	48
96	0	892	919	923	4	0	31	27	27
92	0	851	895	972	71	1	121	49	44
109	0	1013	1029	1044	15	0	31	16	16
104	0	958	1016	1046	13	1	88	74	58
116	0	1092	1115	1121	6	0	29	23	23
124	0	1180	1256	1271	15	0	91	76	76
3	0	6	1319	1422	71	4	1416	1341	1313
132	0	1306	1321	1486	91	7	180	82	15
144	0	1404	1487	1615	116	1	211	94	83
156	0	1591	1621	1627	6	0	36	30	30
179	0	1845	1885	1979	64	5	134	65	40
196	0	1977	2014	2028	14	0	51	37	37
147	0	1478	1492	2034	156	11	556	389	14
206	0	2031	2053	2138	63	1	107	43	22
227	0	2214	2227	2251	24	0	37	13	13
215	0	2098	2220	2294	48	1	196	147	122
229	0	2244	2295	2515	154	1	271	116	51
248	0	2505	2554	2590	28	1	85	56	49
250	0	2545	2572	2594	9	2	49	38	27
253	0	2584	2595	2694	62	2	110	46	11
287	0	2909	2972	3075	79	1	166	86	63
292	0	2966	2974	3083	29	1	117	87	8
299	0	3031	3084	3223	57	1	192	134	53
305	0	3166	3224	3301	77	0	135	58	58
310	0	3214	3302	3361	43	2	147	102	88
340	0	3412	3446	3507	6	1	95	88	34
347	0	3485	3513	3584	71	0	99	28	28
348	0	3487	3508	3610	29	1	123	93	21
360	0	3579	3611	3668	51	1	89	37	32
361	0	3596	3635	3869	17	6	273	250	39
98	0	914	3870	3972	102	0	3058	2956	2956
373	0	3815	3973	3975	2	0	160	158	158
387	0	3954	4043	4098	48	1	144	95	89
393	0	4029	4074	4155	53	2	126	71	45
400	0	4087	4102	4188	38	1	101	62	15
404	0	4165	4196	4239	24	2	74	48	31
468	0	4757	4781	4856	30	2	99	67	24
75	0	706	5378	5383	5	0	4677	4672	4672
291	0	2960	5203	5491	137	8	2531	2386	2243
257	0	2630	5408	5498	44	5	2868	2819	2778
498	0	5144	5567	5592	25	0	448	423	423
296	0	2998	5646	5677	31	0	2679	2648	2648
295	0	2983	5705	5717	12	0	2734	2722	2722
496	0	5130	5678	5741	49	1	611	561	548
481	0	4990	5996	6088	31	1	1098	1066	1006
154	0	1554	6095	6129	29	1	4575	4545	4541
491	0	5078	6156	6257	57	1	1179	1121	1078
490	0	5075	6353	6426	13	1	1351	1337	1278
306	0	3180	6651	6718	67	0	3538	3471	3471
488	0	5048	6850	7114	134	8	2066	1924	1802
303	0	3126	7115	7174	41	1	4048	4006	3989
308	0	3206	7134	7244	47	5	4038	3986	3928
485	0	5018	7293	7394	101	0	2376	2275	2275
246	0	2486	7424	7496	41	1	5010	4968	4938
309	0	3207	7797	7819	22	0	4612	4590	4590
161	0	1685	7820	7828	8	0	6143	6135	6135
151	0	1506	7882	7925	43	0	6419	6376	6376
312	0	3229	7829	8012	63	5	4783	4715	4600
314	0	3236	8174	8235	38	2	4999	4959	4938
315	0	3240	8188	8302	52	2	5062	5008	4948
163	0	1695	8417	8491	68	1	6796	6727	6722
58	0	512	8529	8743	65	8	8231	8158	8017
319	0	3266	8751	8780	29	0	5514	5485	5485
164	0	1719	8744	8962	178	2	7243	7063	7025
240	0	2372	9012	9033	21	0	6661	6640	6640
471	0	4798	9116	9140	24	0	4342	4318	4318
320	0	3272	9163	9262	49	3	5990	5938	5891
165	0	1720	9141	9282	43	7	7562	7512	7421
57	0	506	9166	9371	129	4	8865	8732	8660
29	0	243	9372	9446	27	2	9203	9174	9129
321	0	3280	9531	9604	30	3	6324	6291	6251
466	0	4734	9540	9711	145	2	4977	4830	4806
236	0	2336	9977	10069	27	1	7733	7705	7641
326	0	3319	10076	10144	68	0	6825	6757	6757
