id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	62	33	2	62	27	1
2	0	9	27	270	177	2	261	82	18
50	0	427	458	462	4	0	35	31	31
37	0	333	350	560	126	3	227	98	17
27	0	224	495	565	17	1	341	323	271
63	0	563	807	875	68	0	312	244	244
90	0	871	913	924	11	0	53	42	42
132	0	1260	1276	1301	25	0	41	16	16
133	0	1291	1365	1370	5	0	79	74	74
98	0	957	1459	1515	56	0	558	502	502
149	0	1450	1516	1565	49	0	115	66	66
152	0	1498	1592	1657	65	0	159	94	94
160	0	1626	1668	1706	38	0	80	42	42
153	0	1507	1566	1759	86	8	252	158	59
166	0	1701	1760	1770	10	0	69	59	59
172	0	1754	1771	1942	53	1	188	134	17
191	0	1898	1943	2012	60	3	114	51	45
193	0	1916	1964	2026	20	1	110	89	48
198	0	2007	2027	2143	65	4	136	67	20
213	0	2141	2212	2248	36	0	107	71	71
221	0	2209	2249	2274	25	0	65	40	40
201	0	2040	2275	2337	62	0	297	235	235
235	0	2322	2409	2536	54	2	214	158	87
247	0	2494	2537	2544	7	0	50	43	43
252	0	2530	2545	2547	2	0	17	15	15
250	0	2512	2585	2856	35	3	344	306	73
253	0	2565	2596	2958	86	2	393	305	31
139	0	1389	3020	3069	49	0	1680	1631	1631
295	0	3066	3073	3284	66	2	218	150	7
315	0	3268	3439	3538	38	1	270	231	171
330	0	3524	3539	3637	89	1	113	23	15
352	0	3786	3892	3942	31	1	156	124	106
363	0	3889	3908	3949	23	3	60	34	19
395	0	4183	4215	4294	19	1	111	91	32
400	0	4275	4295	4338	43	0	63	20	20
408	0	4334	4414	4473	59	0	139	80	80
428	0	4575	4673	4723	33	3	148	112	98
440	0	4670	4681	4743	34	2	73	37	11
109	0	1058	4744	4786	42	0	3728	3686	3686
447	0	4776	4798	4847	49	0	71	22	22
285	0	2910	4787	4863	25	1	1953	1927	1877
492	0	5194	5249	5334	22	4	140	114	55
500	0	5279	5335	5423	88	0	144	56	56
286	0	2935	5424	5489	56	1	2554	2497	2489
499	0	5276	5431	5531	48	2	255	205	155
17	0	139	5532	5603	28	1	5464	5435	5393
254	0	2597	5604	5852	89	5	3255	3161	3007
496	0	5240	5853	5863	10	0	623	613	613
289	0	3007	5864	5928	56	1	2921	2864	2857
290	0	3010	5893	5963	40	2	2953	2911	2883
248	0	2496	6034	6065	31	0	3569	3538	3538
467	0	5000	6120	6242	104	2	1242	1136	1120
490	0	5162	6124	6305	78	1	1143	1064	962
246	0	2468	6415	6522	33	2	4054	4019	3947
293	0	3041	6553	6692	74	2	3651	3575	3512
488	0	5148	6923	7045	99	1	1897	1797	1775
53	0	452	6645	7121	155	6	6669	6508	6193
484	0	5133	7171	7184	13	0	2051	2038	2038
144	0	1412	7388	7606	65	6	6194	6123	5976
292	0	3029	7607	7646	39	0	4617	4578	4578
482	0	5109	7850	8004	30	4	2895	2861	2741
19	0	159	7855	8024	67	4	7865	7794	7696
143	0	1405	8041	8163	48	2	6758	6708	6636
481	0	5098	8425	8641	81	6	3543	3456	3327
304	0	3146	8725	8738	13	0	5592	5579	5579
307	0	3175	9108	9149	23	1	5974	5950	5933
239	0	2387	9243	9347	41	3	6960	6916	6856
308	0	3183	9575	9577	2	0	6394	6392	6392
151	0	1484	9578	9667	34	5	8183	8144	8094
32	0	260	9686	9756	42	1	9496	9453	9426
237	0	2365	9974	10009	35	0	7644	7609	7609
472	0	5026	10303	10356	25	1	5330	5304	5277
317	0	3313	10521	10522	1	0	7209	7208	7208
