id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
21	0	218	364	541	11	4	323	308	146
7	0	55	575	665	8	4	610	598	520
4	0	37	524	727	14	7	690	669	487
17	0	172	790	866	4	8	694	682	618
3	1	9	47	1292	4	3	1283	1276	38
8	1	68	765	1474	10	1	1406	1395	697
11	1	108	336	1680	8	3	1572	1561	228
25	2	256	386	2079	16	3	1823	1804	130
9	2	97	109	2181	15	3	2084	2066	12
1	2	0	10	2362	23	8	2362	2331	10
16	2	166	779	2373	29	15	2207	2163	613
13	3	129	598	2443	5	0	2314	2309	469
14	4	136	712	2653	42	10	2517	2465	576
15	4	152	176	2838	13	5	2686	2668	24
22	7	224	375	3689	37	8	3465	3420	151
5	9	39	92	4439	68	20	4400	4312	53
2	10	4	14	4506	6	0	4502	4496	10
12	11	119	414	4716	51	10	4597	4536	295
6	11	52	107	4942	19	3	4890	4868	55
0	0	0	-1	5007	5007	0	5007	0	-1
