id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	55	832	859	3	0	804	801	777
15	0	171	930	995	3	0	824	821	759
16	0	184	1027	1094	8	1	910	901	843
23	1	234	734	1169	18	7	935	910	500
8	1	72	965	1434	6	1	1362	1355	893
13	2	129	880	1586	16	3	1457	1438	751
10	2	122	196	1763	3	3	1641	1635	74
17	2	186	201	1788	8	3	1602	1591	15
3	3	25	57	1987	11	3	1962	1948	32
12	3	126	674	2365	16	7	2239	2216	548
5	4	56	122	2731	13	2	2675	2660	66
20	4	205	326	2744	27	3	2539	2509	121
11	4	123	426	2796	38	9	2673	2626	303
22	4	223	611	2821	46	12	2598	2540	388
9	5	112	160	3082	13	5	2970	2952	48
6	6	66	133	3281	17	6	3215	3192	67
14	8	150	181	4229	29	11	4079	4039	31
24	9	235	391	4519	26	12	4284	4246	156
25	11	260	364	4982	34	7	4722	4681	104
0	0	0	-1	5006	5006	0	5006	0	-1
