id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	58	224	254	5	0	196	191	166
23	0	227	263	274	11	0	47	36	36
17	0	169	326	393	21	0	224	203	157
36	0	430	449	597	28	0	167	139	19
69	0	962	999	1175	21	4	213	188	37
37	0	443	473	1436	18	0	993	975	30
98	0	1402	2170	2222	2	2	820	816	768
47	0	556	2154	2254	20	3	1698	1675	1598
26	0	294	2439	2467	11	1	2173	2161	2145
83	1	1206	1674	3298	24	0	2092	2068	468
1	1	0	5	3455	59	0	3455	3396	5
90	1	1308	2087	3485	25	2	2177	2150	779
91	1	1317	2107	3515	22	0	2198	2176	790
41	1	477	971	3990	37	2	3513	3474	494
73	1	994	1128	4026	34	2	3032	2996	134
77	1	1055	1501	4097	27	5	3042	3010	446
11	1	84	1801	4161	16	0	4077	4061	1717
44	1	515	1841	4451	58	3	3936	3875	1326
92	1	1343	2164	4681	28	3	3338	3307	821
13	1	114	2552	4882	16	0	4768	4752	2438
53	1	666	2592	4937	43	1	4271	4227	1926
59	1	788	2844	5158	20	0	4370	4350	2056
61	1	810	2944	5170	24	1	4360	4335	2134
62	1	829	2964	5448	38	2	4619	4579	2135
85	2	1239	1257	6032	45	0	4793	4748	18
45	2	526	1947	6321	47	4	5795	5744	1421
27	2	321	2572	6998	54	3	6677	6620	2251
7	2	47	2532	7156	43	0	7109	7066	2485
81	3	1159	1666	7771	58	4	6612	6550	507
68	3	957	3186	7882	68	2	6925	6855	2229
72	3	993	1083	8087	62	1	7094	7031	90
79	3	1083	1586	8116	52	0	7033	6981	503
32	3	366	401	9065	70	6	8699	8623	35
42	3	486	510	9125	52	2	8639	8585	24
5	3	30	174	9137	49	0	9107	9058	144
10	4	74	435	9264	102	2	9190	9086	361
24	4	258	293	9435	84	6	9177	9087	35
3	4	21	119	9561	94	3	9540	9443	98
46	4	529	550	9803	85	0	9274	9189	21
0	0	0	-1	10014	10014	0	10014	0	-1
