id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	24	15	0	24	9	1
4	0	62	69	127	15	1	65	49	7
8	0	120	152	318	13	1	198	184	32
20	0	305	386	389	3	0	84	81	81
12	0	191	233	404	11	1	213	201	42
13	0	214	265	453	11	1	239	227	51
9	0	152	186	540	23	1	388	364	34
10	0	162	194	721	22	3	559	534	32
3	0	15	25	1034	72	5	1019	942	10
15	0	238	298	1087	27	2	849	820	60
26	0	379	492	1271	14	8	892	870	113
28	0	389	511	1316	25	0	927	902	122
49	0	756	968	1426	10	1	670	659	212
2	0	7	13	1450	79	11	1443	1353	6
27	0	380	494	1506	28	1	1126	1097	114
34	0	510	654	1518	17	1	1008	990	144
30	0	446	574	1599	28	1	1153	1124	128
31	0	450	580	1609	25	4	1159	1130	130
42	0	649	820	1684	19	4	1035	1012	171
43	0	656	834	1690	22	1	1034	1011	178
37	0	561	711	1756	18	4	1195	1173	150
38	0	583	734	1773	29	0	1190	1161	151
17	0	280	351	1814	44	3	1534	1487	71
18	0	284	357	1825	37	5	1541	1499	73
22	0	308	396	1873	43	2	1565	1520	88
41	0	613	784	1970	35	3	1357	1319	171
24	0	325	420	2049	43	3	1724	1678	95
16	0	251	319	2171	54	5	1920	1861	68
19	0	300	378	2243	46	6	1943	1891	78
45	0	673	864	2367	42	7	1694	1645	191
48	0	752	962	2423	44	3	1671	1624	210
47	0	749	950	2507	46	2	1758	1710	201
11	0	170	209	2697	85	10	2527	2432	39
50	0	760	977	2888	67	10	2128	2051	217
32	0	487	622	2917	80	3	2430	2347	135
5	0	73	89	3047	107	12	2974	2855	16
7	0	115	140	3073	106	13	2958	2839	25
6	0	76	101	3125	118	15	3049	2916	25
44	0	659	846	3218	81	13	2559	2465	187
35	0	547	693	3291	90	16	2744	2638	146
39	0	599	758	3309	94	12	2710	2604	159
21	0	307	390	3329	109	9	3022	2904	83
23	0	314	405	3423	120	8	3109	2981	91
14	0	225	280	3455	117	16	3230	3097	55
46	0	704	900	3539	108	12	2835	2715	196
40	0	611	772	3580	129	9	2969	2831	161
25	0	328	426	3626	145	17	3298	3136	98
33	0	498	640	3691	161	20	3193	3012	142
29	0	416	541	3735	179	16	3319	3124	125
36	0	551	696	3864	273	26	3313	3014	145
0	0	0	0	3864	5	0	3864	3859	0
