id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	9	32	199	49	1	190	140	23
8	0	206	501	515	14	0	309	295	295
12	0	268	677	694	17	0	426	409	409
3	0	37	105	829	78	2	792	712	68
18	0	369	854	855	1	0	486	485	485
21	0	419	911	912	1	0	493	492	492
6	0	146	419	965	38	2	819	779	273
9	0	207	525	1032	17	1	825	807	318
10	0	239	539	1050	23	1	811	787	300
22	0	571	1060	1067	7	0	496	489	489
23	0	581	1077	1078	1	0	497	496	496
27	0	602	1154	1179	25	0	577	552	552
14	0	315	747	1345	14	1	1030	1015	432
5	0	136	323	1489	121	5	1353	1227	187
4	0	43	133	1539	87	3	1496	1406	90
25	0	596	1099	1574	25	1	978	952	503
26	0	597	1122	1603	41	1	1006	964	525
30	0	636	1230	1699	45	1	1063	1017	594
16	0	320	792	1794	15	2	1474	1457	472
20	0	395	887	1878	66	4	1483	1413	492
28	0	631	1189	1941	31	2	1310	1277	558
29	0	632	1202	1952	47	5	1320	1268	570
1	0	0	10	1996	132	8	1996	1856	10
24	0	594	1088	2124	22	4	1530	1504	494
11	0	241	564	2145	143	5	1904	1756	323
15	0	319	770	2188	72	9	1869	1788	451
17	0	328	839	2205	62	8	1877	1807	511
13	0	293	716	2255	53	8	1962	1901	423
7	0	157	452	2306	83	9	2149	2057	295
19	0	385	865	2349	88	8	1964	1868	480
0	0	0	0	2349	-9	0	2349	2358	0
