id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	61	65	76	3	2	15	10	4
13	0	149	161	179	13	1	30	16	12
12	0	144	156	186	13	2	42	27	12
11	0	142	199	248	28	4	106	74	57
25	0	392	396	397	1	0	5	4	4
18	0	261	271	401	37	10	140	93	10
20	0	304	352	417	29	5	113	79	48
29	0	429	435	482	21	3	53	29	6
36	0	512	521	552	8	5	40	27	9
41	0	584	593	598	5	0	14	9	9
45	0	625	633	638	5	0	13	8	8
49	0	662	671	676	5	0	14	9	9
33	0	464	471	720	33	4	256	219	7
50	0	678	770	792	15	1	114	98	92
21	0	335	342	951	19	1	616	596	7
44	0	614	620	961	23	6	347	318	6
38	0	532	964	978	14	0	446	432	432
35	0	485	897	982	25	6	497	466	412
15	0	190	219	997	58	6	807	743	29
24	0	371	696	1249	85	6	878	787	325
14	0	175	187	1290	36	4	1115	1075	12
39	0	534	556	1352	39	4	818	775	22
27	0	417	509	1565	37	3	1148	1108	92
46	0	640	649	1600	31	4	960	925	9
40	0	546	553	1743	58	10	1197	1129	7
31	0	460	473	1794	29	1	1334	1304	13
47	0	641	1799	1834	28	1	1193	1164	1158
28	0	426	449	1918	62	8	1492	1422	23
5	0	55	67	1972	130	19	1917	1768	12
17	0	246	259	1989	55	6	1743	1682	13
19	0	287	299	2097	110	18	1810	1682	12
6	0	58	1319	2122	89	8	2064	1967	1261
16	0	234	251	2176	73	6	1942	1863	17
43	0	610	1406	2303	82	3	1693	1608	796
48	0	658	812	2321	104	15	1663	1544	154
8	0	67	1446	2440	125	14	2373	2234	1379
42	0	602	606	2467	75	9	1865	1781	4
30	0	453	2352	2595	71	11	2142	2060	1899
37	0	531	539	2721	81	14	2190	2095	8
10	0	110	119	2816	49	3	2706	2654	9
2	0	39	42	2910	134	15	2871	2722	3
34	0	477	493	3034	257	31	2557	2269	16
3	0	47	61	3078	115	10	3031	2906	14
23	0	369	376	3121	53	5	2752	2694	7
1	0	0	1	3165	162	33	3165	2970	1
9	0	93	101	3353	169	29	3260	3062	8
32	0	462	486	3549	100	4	3087	2983	24
22	0	362	1014	3560	194	18	3198	2986	652
4	0	48	1669	3648	89	7	3600	3504	1621
26	0	414	424	3655	260	38	3241	2943	10
0	0	0	0	3655	2	0	3655	3653	0
